"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время начала отключения электроснабжения Время,Плановое время восстановления отключения электроснабжения,Плановое время восстановления отключения электроснабжения Время,Филиал,РЭС,Комментарий,Id здания,Координаты
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Колхозная ул,  уч.2",21-09-2023,09:00,21-09-2023,17:00,Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением.
",64443.0,"[59.782006284,30.130922511]"
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Колхозная ул,  уч.1 ",21-09-2023,09:00,21-09-2023,17:00,Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением.
",21417.0,"[60.08514773,30.294784012]"
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Партизан ул,  участок 1 ",21-09-2023,09:00,21-09-2023,17:00,Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением.
",2201.0,"[59.992371177,30.154950538]"
Санкт-Петербург,Пушкинский район,г. Павловск,"ул. Декабристов д.9,  1",21-09-2023,09:00,21-09-2023,21:00,Южные электрические сети,Пушкинский РЭС,,44474.0,"[59.928632114,30.304569657]"
Санкт-Петербург,Пушкинский район,г. Павловск,"Красного Курсанта д.3, 8",21-09-2023,09:00,21-09-2023,21:00,Южные электрические сети,Пушкинский РЭС,,30910.0,"[59.955055519,30.293235076]"
Санкт-Петербург,Пушкинский район,г. Павловск,"ул. Луначарского д.12, 4,",21-09-2023,09:00,21-09-2023,21:00,Южные электрические сети,Пушкинский РЭС,,110302.0,"[59.681222948,30.460484706]"
Ленинградская область,Гатчинский район ,"Антропшино,  г. Коммунар,  д. Покровское,  Пудомягское сп.,  ,  КП ""Русская усадьба""","Усадьба,  Парковая д.3,  ",21-09-2023,00:00,21-09-2023,07:00,Южные электрические сети,Пушкинский РЭС,,4791.0,"[59.890158476,30.337304913]"
Санкт-Петербург,Колпинский район,п. Усть-Славянка,Советский проспект д. 39 ,20-09-2023,13:00,20-09-2023,17:00,Южные электрические сети,Колпинский РЭС,,125592.0,"[60.067745755,29.974647109]"
Санкт-Петербург,Колпинский район,п. Усть-Славянка,ул. Гудиловская д. 6 ,20-09-2023,13:00,20-09-2023,17:00,Южные электрические сети,Колпинский РЭС,,224707.0,"[60.220719677,29.753231911]"
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Петроградская наб.,  д. 2",20-09-2023,12:00,20-09-2023,18:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на Т-2,86576.0,"[59.955837928,30.335591332]"
Санкт-Петербург,Петроградский район,Санкт-Петербург,"ул. Куйбышева,  д. 23 к.2",20-09-2023,12:00,20-09-2023,18:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на Т-2,104620.0,"[59.95632516,30.331785132]"
Санкт-Петербург,Невский район,г. Санкт-Петербург,"пр. Елизарова,  д. 16,  ",20-09-2023,11:00,20-09-2023,15:00,Кабельная сеть,Невский РЭС,кратковременно на 1-1.5 часа,51867.0,"[59.895133633,30.422235824]"
Санкт-Петербург,Пушкинский район,тер. Пулковское,Пулковское ш. д.103 ,20-09-2023,10:00,20-09-2023,17:20,Южные электрические сети,Пушкинский РЭС,,113348.0,"[59.753306729,30.311305088]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.4,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,69045.0,"[59.780140032,30.130261813]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.6,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,42975.0,"[59.780347475,30.130523619]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.6,  ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,42975.0,"[59.780347475,30.130523619]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.8,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,109602.0,"[59.780512153,30.129921976]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.9,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,45273.0,"[60.20656022,29.701538569]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.10,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,88210.0,"[60.215482374,29.622756544]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул,  д.6,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,89903.0,"[60.109643142,29.953841305]"
Санкт-Петербург,Курортный район,п.Ушково,"Детская ул,  д.41,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,131438.0,"[60.217566508,29.627985473]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовый пер,  д.8,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,18601.0,"[60.216938504,29.631044147]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул,  д.6,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,89903.0,"[60.109643142,29.953841305]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул,  д.6,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,89903.0,"[60.109643142,29.953841305]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.11, ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,198698.0,"[59.750000719,30.610661513]"
Санкт-Петербург,Курортный район,п.Ушково,"Детская ул,  д.32,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,74278.0,"[59.933199923,30.247232207]"
Санкт-Петербург,Курортный район,п.Ушково,"Детская ул,  д.37,  ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,129525.0,"[60.216865615,29.628690813]"
Санкт-Петербург,Курортный район,п.Ушково,"Детская ул,  д.41,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,131438.0,"[60.217566508,29.627985473]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул,  д.9,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,207423.0,"[60.216964301,29.622405983]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовый Пер.,  д.10лит.А",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,4890.0,"[60.217065129,29.631651743]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул,  д.11лит.А",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,49916.0,"[60.110227966,29.956999385]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовая Ул.,  д.5,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,187520.0,"[60.217181328,29.62707432]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.3,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,84109.0,"[59.780037182,30.13096855]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовый Пер.,  д.8лит.А",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,18601.0,"[60.216938504,29.631044147]"
Санкт-Петербург,Курортный район,п.Ушково,Почтовая Ул уч. 7 ,20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,206847.0,"[60.21720964,29.626609296]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул,  д.4,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,99657.0,"[60.215830631,29.624469491]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.11,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,198698.0,"[59.750000719,30.610661513]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул,  д.12лит. А",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,22536.0,"[60.219745485,29.611779944]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  уч 4 ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,69045.0,"[59.780140032,30.130261813]"
Санкт-Петербург,Курортный район,п.Ушково,"Полевая Ул.,  д.3",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,196563.0,"[59.724835776,30.093921755]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул,  д.3, лит. А",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,86282.0,"[60.110024738,29.952697912]"
Санкт-Петербург,Курортный район,п.Ушково,"Детская ул,  д.31,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,46656.0,"[60.213741379,29.628797353]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул уч.5,  ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,45511.0,"[60.19275518,29.804842602]"
Санкт-Петербург,Курортный район,п.Ушково,"Полевая Ул.,  д.4,  ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,65283.0,"[59.994204115,30.166570883]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовый Пер.,  д.14,  ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,35065.0,"[60.217212109,29.632317924]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовый Пер.,  д.10,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,4890.0,"[60.217065129,29.631651743]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовый Пер.,  д.4,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,75891.0,"[60.216690839,29.630322646]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовая Ул.,  д.15,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,111239.0,"[60.217419918,29.625392649]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовая Ул.,  д.4,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,108772.0,"[60.190835888,29.523885062]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул,  д.9,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,207423.0,"[60.216964301,29.622405983]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовая Ул.,  д.15,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,111239.0,"[60.217419918,29.625392649]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.8,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,109602.0,"[59.780512153,30.129921976]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.9,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,45273.0,"[60.20656022,29.701538569]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовый пер,  д.10,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,4890.0,"[60.217065129,29.631651743]"
Санкт-Петербург,Курортный район,п.Ушково,"Детская ул,  д.32,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,74278.0,"[59.933199923,30.247232207]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул,  д.4,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,99657.0,"[60.215830631,29.624469491]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовый пер,  д.14,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,35065.0,"[60.217212109,29.632317924]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовая Ул.,  д.16,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,129527.0,"[60.217609393,29.621627005]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.4,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,69045.0,"[59.780140032,30.130261813]"
Санкт-Петербург,Курортный район,п.Ушково,"Полевая ул,  д.4,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,65283.0,"[59.994204115,30.166570883]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.10,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,88210.0,"[60.215482374,29.622756544]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовый пер,  д.4,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,75891.0,"[60.216690839,29.630322646]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовый пер,  д.16,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,129524.0,"[60.217473586,29.632196297]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.11лит. А",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,198698.0,"[59.750000719,30.610661513]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.11,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,198698.0,"[59.750000719,30.610661513]"
Санкт-Петербург,Красносельский район,г. Красное Село,"ул. Освобождения , д.29",19-09-2023,20:00,20-09-2023,06:00,Южные электрические сети,Красносельский РЭС,На 30 минут.,128363.0,"[59.743919788,30.079974912]"
Санкт-Петербург,Красносельский район,г. Красное Село,ул. Спирина д.1,19-09-2023,20:00,20-09-2023,06:00,Южные электрические сети,Красносельский РЭС,На 30 минут.,128716.0,"[59.746252222,30.083680689]"
Санкт-Петербург,Красносельский район,г. Красное Село,"ул. Геологическая д.42 ,  ",19-09-2023,20:00,20-09-2023,06:00,Южные электрические сети,Красносельский РЭС,На 30 минут.,137125.0,"[59.747226911,30.082856636]"
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,ул. Гаккелевская д. 21 лит. А,19-09-2023,18:00,19-09-2023,22:00,Кабельная сеть,Западный РЭС,,74167.0,"[60.000093737,30.256640838]"
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"ул. Димитрова,  д. 12,  ",19-09-2023,11:00,19-09-2023,17:00,Кабельная сеть,Невский РЭС,,46292.0,"[59.847309449,30.380589538]"
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"Будапештская,  ул.,  д. 65,  ",19-09-2023,11:00,19-09-2023,17:00,Кабельная сеть,Невский РЭС,,33122.0,"[59.848901987,30.384564289]"
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Лиговский пр. д. 271 ,19-09-2023,11:00,19-09-2023,17:00,Кабельная сеть,Южный РЭС,,213934.0,"[59.905956612,30.340312723]"
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"ул. Будапештская,  д. 12,  ",19-09-2023,11:00,19-09-2023,17:00,Кабельная сеть,Невский РЭС,,41938.0,"[59.871080061,30.370809971]"
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"Белы Куна д. 2,  ",19-09-2023,11:00,19-09-2023,17:00,Кабельная сеть,Невский РЭС,,131526.0,"[59.869499821,30.373930401]"
Санкт-Петербург,Красносельский район,Сосновая Поляна,"П.Гарькавого 33/1, 3",19-09-2023,11:00,19-09-2023,19:00,Южные электрические сети,Петродворцовый  РЭС,"ТП-015 РУ 0,4кВ монтаж ТТ.",76223.0,"[59.83388219,30.146158834]"
Санкт-Петербург,Красносельский район,Сосновая Поляна,"я Комсомольская 36/1, 3",19-09-2023,11:00,19-09-2023,19:00,Южные электрические сети,Петродворцовый  РЭС,"ТП-015 РУ 0,4кВ монтаж ТТ.",38176.0,"[59.832713089,30.143708691]"
Санкт-Петербург,Пушкинский район,тер. Пулковское,Пулковское ш. д.103 ,19-09-2023,10:00,19-09-2023,17:20,Южные электрические сети,Пушкинский РЭС,,113348.0,"[59.753306729,30.311305088]"
Санкт-Петербург,Василеостровский район,Санкт-Петербург,"Малый пр.,  д. 54",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Островной РЭС,,53400.0,"[59.941722291,30.258528849]"
Санкт-Петербург,Калининский район,Санкт-Петербург,"Бестужевская ул.,  д.5",19-09-2023,10:00,19-09-2023,16:00,Кабельная сеть,Восточный РЭС,,210276.0,"[59.986063196,30.385984113]"
Санкт-Петербург,Центральный район ,Санкт-Петербург,"Садовая ул., д.12,  ",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Центральный РЭС,,196871.0,"[59.935445492,30.336173775]"
Санкт-Петербург,Центральный район ,Санкт-Петербург,"Малая Садовая,  д. 1",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Центральный РЭС,,105075.0,"[59.935303846,30.337511491]"
Санкт-Петербург,Василеостровский район,Санкт-Петербург,"ул. Уральская,  д. 8",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Островной РЭС,,68972.0,"[59.952205585,30.263985617]"
Санкт-Петербург,Василеостровский район,Санкт-Петербург,"ул. Железноводская,  д. 10",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Островной РЭС,,36307.0,"[59.952272467,30.258864121]"
Санкт-Петербург,Петроградский район,Санкт-Петербург,"ул. Ремесленная,  д. 9 к.2",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Островной РЭС,,135096.0,"[59.959178917,30.268266763]"
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Петровский пр.,  д. 20 лит. ",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Островной РЭС,,18468.0,"[59.959628646,30.266563336]"
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Петроградская наб.,  д. 26",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Островной РЭС,,45935.0,"[59.960926086,30.333552441]"
Санкт-Петербург,Адмиралтейский район,Санкт-Петербург,"Рижский пр.,  д. 58,  ",19-09-2023,10:00,19-09-2023,22:00,Кабельная сеть,Центральный РЭС,Аварийные работы,218689.0,"[59.913039035,30.275333913]"
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Пискаревский пр.,  д.37",19-09-2023,10:00,19-09-2023,17:00,Кабельная сеть,Восточный РЭС,,36407.0,"[59.977813167,30.420732429]"
Санкт-Петербург,Василеостровский район,Санкт-Петербург,"Средний пр.,  д. 61,  ",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Островной РЭС,,49605.0,"[59.939978527,30.266969511]"
